User_Name,Five_most_used_Theme,Category
*SM*,"{'Philippe Martinez': 4, ""Taux d'intérêt négatif"": 3, ""Liste de sondages sur l'élection présidentielle française de 2017"": 3, 'Nicolas Domenach': 3, 'Crèche de Noël': 3}","Bataille de l'Artémision,Léonidas Ier de Sparte"
-- Hizin --,"{'Brandon Teena': 7, 'Peine de mort en Arabie saoudite': 6, 'Utilisateur:-- Hizin --/histo': 5, 'Raise': 5, 'Avisa Partners': 4}",Xerxès Ier
-=El Pingu=-,"{'Utilisateur:-=El Pingu=-': 28, 'Ramases': 8, 'Listerine': 6, 'Gary Numan': 6, 'Les Orientales': 5}",Xerxès Ier
.Anja.,"{'Utilisatrice:.Anja./Obésité féline': 52, 'Lipidose hépatique': 20, 'Utilisatrice:.Anja./Articles vet': 11, 'Syndrome du poulain blanc': 9, 'Projet:Médecine vétérinaire/Mois de la médecine vétérinaire 2023': 9}",Les Perses
.anacondabot,"{'(762) Pulcova': 2, ""Capture d'écran"": 1, 'Mythologie': 1, 'Trabant 601': 1, 'Nombre complexe': 1}","Les Perses,Darius Ier,Hippias (tyran)"
0x010C,"{'Tonj': 4, 'Utilisateur:0x010C': 3, 'Scorpion (astrologie)': 3, 'Échenevex': 3, 'Mourad Karouf': 3}","Guerres médiques,Bataille de Marathon,Bataille de Salamine,Darius Ier"
105.145.254.212,{'Guerres médiques': 1},Guerres médiques
105.158.178.92,{'Bataille des Thermopyles': 1},"Bataille des Thermopyles,Bataille des Thermopyles"
105.66.132.183,"{'Bataille des Champs du Pelennor': 2, 'Bataille des Thermopyles': 1}","Bataille des Thermopyles,Bataille des Thermopyles"
109.106.73.161,{'Bataille de Salamine': 2},Bataille de Salamine
109.11.42.78,"{'The Last of Us Part II': 5, 'Agony (jeu vidéo, 2018)': 5, ""Assassin's Creed Origins"": 5, 'Kylo Ren': 4, 'God of War': 4}",Léonidas Ier de Sparte
109.12.184.138,"{'Huile essentielle': 6, 'Vélodrome de Saint-Quentin-en-Yvelines': 6, 'Isomérie': 4, 'Bocca della Verità': 2, ""L'Équipe"": 2}",Bataille de Marathon
109.12.31.140,{'Bataille de Marathon': 1},Bataille de Marathon
109.128.142.204,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
109.130.100.171,"{""300 : La Naissance d'un empire"": 2}",300 : La Naissance d'un empire
109.14.127.78,{'Bataille de Salamine': 1},Bataille de Salamine
109.140.17.51,"{'Terminator: Dark Fate': 3, ""300 : La Naissance d'un empire"": 1}",300 : La Naissance d'un empire
109.15.15.68,{'Bataille de Marathon': 3},Bataille de Marathon
109.2.202.238,"{'Saint-Aubin-du-Pavail': 7, 'Illevia': 6, ""Institut d'urbanisme de Paris"": 6, 'Pratiques des Témoins de Jéhovah': 5, 'Beillé': 4}",300 : La Naissance d'un empire
109.211.215.135,"{'Boxe anglaise': 3, 'Kung Fu Panda 3': 3, 'Saison 6 de Xena, la guerrière': 3, ""Guerre d'Irak"": 2, 'Toy Story (série de films)': 2}",Phidippidès
109.211.39.110,{'Bataille de Marathon': 1},Bataille de Marathon
109.213.109.204,{'Bataille de Marathon': 1},Bataille de Marathon
109.213.76.228,{'Bataille des Thermopyles': 1},"Bataille des Thermopyles,Bataille des Thermopyles"
109.214.222.213,{'Xerxès Ier': 1},Xerxès Ier
109.217.129.218,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
109.218.132.113,"{'Bataille de Salamine': 2, 'Artémise Ire': 1, 'Parapente': 1, 'Virus Ebola': 1}",Bataille de Salamine
109.218.197.61,"{'Guerre du Péloponnèse': 4, 'Bataille de Marathon': 3, 'Élève officier de réserve': 2, 'Jacques le Juste': 1, 'Bataille du cap Mycale': 1}","Guerres médiques,Bataille de Marathon,Bataille du cap Mycale"
109.218.2.148,"{'Freddy Krueger': 11, 'Musiques de Grand Theft Auto III': 8, 'Colt M1911': 6, 'Take-Two Interactive': 6, 'Digital Illusions Creative Entertainment': 5}","Bataille des Thermopyles,Bataille des Thermopyles"
109.219.111.200,{'Bataille de Salamine': 1},Bataille de Salamine
109.220.125.144,{'Xerxès Ier': 1},Xerxès Ier
109.23.75.90,{'Datis': 1},Datis
109.26.189.156,"{'Tour de Lille': 7, ""Conférence des Nations unies sur l'environnement et le développement"": 5, 'Nicolas de Condorcet': 3, 'Juliette (chanteuse)': 3, 'Guerres médiques': 3}",Guerres médiques
109.29.171.149,{'Bataille de Marathon': 2},Bataille de Marathon
109.6.120.211,"{'Bombardement de Guernica': 17, '300 (film)': 1, 'Titeuf': 1, 'Niro (rappeur)': 1, 'Douve (fossé)': 1}",300 (film)
109.7.194.68,{'Guerres médiques': 1},Guerres médiques
109.8.199.162,{'Xerxès Ier': 1},Xerxès Ier
109.8.232.96,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
109.8.89.233,{'Bataille de Marathon': 1},Bataille de Marathon
109.94.36.210,{'Bataille de Marathon': 1},Bataille de Marathon
118.241.249.192,{'Xerxès Ier': 1},Xerxès Ier
128.79.119.229,{'Bataille des Thermopyles': 1},"Bataille des Thermopyles,Bataille des Thermopyles"
128.79.44.22,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
129.12.149.158,{'300 (film)': 1},300 (film)
129.45.91.12,{'300 (film)': 1},300 (film)
130.125.137.228,{'Bataille des Thermopyles': 1},"Bataille des Thermopyles,Bataille des Thermopyles"
131.175.19.65,{'Léonidas Ier de Sparte': 2},Léonidas Ier de Sparte
132.203.168.145,{'Bataille des Thermopyles': 1},"Bataille des Thermopyles,Bataille des Thermopyles"
134.21.248.61,"{""Nombre d'Avogadro"": 1, 'Léonidas Ier de Sparte': 1}",Léonidas Ier de Sparte
134.214.165.160,"{""300 : La Naissance d'un empire"": 1}",300 : La Naissance d'un empire
134.214.165.46,"{""Équipe d'Union soviétique de hockey sur glace"": 2, ""Saison 3 de Quoi d'neuf Scooby-Doo ?"": 2, ""Saison 1 de Quoi d'neuf Scooby-Doo ?"": 2, ""Championnat d'Europe de hockey sur glace"": 2, 'Bataille des Thermopyles': 1}","Bataille des Thermopyles,Bataille des Thermopyles,300 : La Naissance d'un empire"
140.77.97.79,{'Les Perses': 1},Les Perses
142.113.21.152,"{""L'Indien du placard"": 4, ""L'Assistant du vampire"": 4, 'Pinocchio (film, 2002)': 4, 'Les Aventures de Shark Boy et Lava Girl': 3, 'Miracle (film, 2004)': 3}",Spartatouille
142.167.49.232,{'Guerres médiques': 1},Guerres médiques
142.169.78.131,"{'Les Sept Jours du talion': 5, 'Anthrax': 3, 'Éphialtès de Trachis': 2, 'Mumble rap': 2, 'Liste de personnalités liées au Saguenay–Lac-Saint-Jean': 1}",Éphialtès de Trachis
142.217.194.119,"{'Utilisateur:Arria Belli': 5, ""Der Fuehrer's Face"": 3, 'Red Ensign canadien': 2, 'Bataille de Caen': 1, 'Palettes': 1}",Thermopyles
145.129.87.82,"{""300 : La Naissance d'un empire"": 1}",300 : La Naissance d'un empire
145.242.20.107,"{'Olympique lyonnais - AS Saint-Étienne en football': 9, 'Nekketsu': 2, 'Xcode': 2, 'Tournoi de tennis de Serbie (ATP 2021)': 2, 'Apple Pay': 2}",300 (film)
145.62.32.129,"{'EY (entreprise)': 17, ""Jules Barbey d'Aurevilly"": 15, 'Partage (association étudiante)': 12, 'Utilisateur:Bertrandaa/Brouillon': 9, 'Michael Powell': 7}",Bataille de Ladé (494 av. J.-C.)
147.210.201.1,"{'John Steinbeck': 2, ""Datation par l'uranium-thorium"": 2, 'Pollux': 2, 'Utilisateur:Vincent RouGe/Brouillon': 2, 'Utilisateur:Mfleurant001/Brouillon': 2}",Miltiade le Jeune
147.210.93.134,"{'Révolution française': 2, 'Empire perse': 2, 'Constantin Ier (empereur romain)': 1, 'Max Beckmann': 1, 'Première révolution anglaise': 1}",La Bataille des Thermopyles
148.66.112.192,"{'Xerxès Ier': 1, 'Artaxerxès Ier': 1}",Xerxès Ier
149.5.228.29,"{'Gollum': 1, 'Thomas et ses amis': 1, 'Casemate': 1, 'Léonidas Ier de Sparte': 1}",Léonidas Ier de Sparte
150.59.60.156,"{'Léotychidas II': 2, 'Cléombrote II': 1, 'Démétrios Ier Poliorcète': 1, 'Lysimaque': 1}",Léotychidas II
158.64.70.1,"{'Ostéopathie': 4, 'Nathan Bedford Forrest': 3, 'Lycée Vauban (Luxembourg)': 2, 'Les Sabines (nouvelle)': 2, 'Darius Ier': 2}",Darius Ier
159.50.203.8,"{'Big Country': 13, 'Serbes': 12, 'Pézenas': 11, 'Strasbourg': 9, 'Henri Poncet': 8}",300 (bande dessinée)
163.9.69.12,"{'Cathédrale Notre-Dame de Paris': 5, 'Maître de Dunois': 4, 'Sacre des rois de France': 4, '1431': 3, ""Heures à l'usage d'Angers"": 3}",300 (film)
164.2.255.244,"{""Banque d'épreuves Géologie Eau et Environnement"": 15, ""Voile aux Jeux olympiques d'été de 2020"": 14, 'Copa América 2021': 8, 'Vincent Delieuvin': 7, 'Hayabusa 2': 7}",Léonidas Ier de Sparte
165.225.16.83,"{'Gaz industriel': 18, 'Sandy McMahon': 3, 'Amy Coney Barrett': 2, 'Ted Drake': 2, 'Xerxès Ier': 2}",Xerxès Ier
166.48.173.46,"{""300 : La Naissance d'un empire"": 1}",300 : La Naissance d'un empire
168.253.162.52,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
170.194.32.42,"{'Suzanne Bachelard': 1, 'Traversée de la Manche à la nage': 1, ""Bataille d'Auerstaedt"": 1, 'Bataille de Salamine': 1, 'Vincent Moulia': 1}",Bataille de Salamine
173.176.165.17,{'Guerres médiques': 2},Guerres médiques
173.176.52.123,{'Guerres médiques': 1},Guerres médiques
173.178.166.8,{'Guerres médiques': 1},Guerres médiques
173.179.150.224,"{'Portail:Polar/Tableau principal/incontournables2': 22, 'Liste des ouvrages publiés dans la collection Le Masque': 22, 'Pierre Apestéguy': 19, 'John Dickson Carr': 18, 'Peter Cheyney': 13}",Les Perses
173.179.78.144,{'Miltiade le Jeune': 1},Miltiade le Jeune
173.180.39.157,"{""Bataille de l'Artémision"": 2, 'Bataille de Salamine': 1}","Bataille de l'Artémision,Bataille de Salamine"
173.69.214.107,"{'300 (film)': 1, 'Léonidas Ier de Sparte': 1, 'Bataille des Thermopyles': 1}","300 (film),Léonidas Ier de Sparte"
174.254.70.181,{'Spartatouille': 1},Spartatouille
174.93.255.36,{'Guerres médiques': 3},Guerres médiques
176.128.114.68,"{'Action Zamość': 2, 'Guerres médiques': 2, 'Bataille de Fleurus (1794)': 2, 'Vyborg': 1, 'München (navire météorologique)': 1}",Guerres médiques
176.131.232.209,{'Léonidas Ier de Sparte': 5},Léonidas Ier de Sparte
176.139.29.7,"{'École centrale de Lyon': 32, 'Totalitarisme': 27, 'Matrice de confusion': 20, 'Écurie Piston Sport Auto': 10, 'Fonds souverain': 9}",300 : La Naissance d'un empire
176.140.112.153,{'Phidippidès': 1},Phidippidès
176.148.147.75,{'Guerres médiques': 1},Guerres médiques
176.149.72.47,"{'Mikaël Cabon': 3, 'Etemenanki': 1, 'Lhalung Pelgyi Dorje': 1, 'Xerxès Ier': 1, 'Atalante (navire)': 1}",Xerxès Ier
176.157.132.185,"{'Saison 1 de Titeuf': 6, 'Lego Dimensions': 5, 'Sausage Party': 4, 'Film catastrophe (film)': 3, 'Monument national du Chili': 3}",Spartatouille
176.159.46.51,"{'Louis Vierne': 4, 'Antoine Blanc de Saint-Bonnet': 3, 'Vita nuova': 3, 'Sub tuum præsidium': 3, 'Histoire du verre': 2}",Darius Ier
176.160.154.111,"{'Publius Clodius Pulcher': 1, 'Marcus Pupius Piso Frugi Calpurnianus': 1, 'Hadrien': 1, 'Digeste': 1, 'Révolte des Cabochiens': 1}",Cimon
176.160.240.22,"{""Bataille de l'Eurymédon"": 1}",Bataille de l'Eurymédon
176.165.22.158,{'Éphialtès de Trachis': 1},Éphialtès de Trachis
176.166.238.180,"{'Louis XV': 6, 'Teyssières': 6, 'Léon XIII': 5, 'Sault-Brénaz': 5, 'Goujon (poisson)': 5}",Xerxès Ier
176.169.70.122,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
176.175.129.137,"{'Léonidas Ier de Sparte': 1, 'Bûcher des Vanités': 1}",Léonidas Ier de Sparte
176.179.103.150,"{'Roue de vélo': 7, 'Commerce triangulaire': 6, 'Isaac Newton': 3, 'Didier Deschamps': 2, 'Réparations de la Première Guerre mondiale': 2}",Bataille de Marathon
176.179.144.221,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
176.180.137.253,{'Bataille de Marathon': 1},Bataille de Marathon
176.181.31.197,{'Bataille de Marathon': 1},Bataille de Marathon
176.183.91.180,"{'Bataille de Marathon': 2, 'Gare de Lille-Flandres': 1}",Bataille de Marathon
176.188.241.70,{'300 (film)': 2},300 (film)
176.52.229.19,"{'Pierre Delbrel': 6, 'Siège de Léningrad': 5, 'Bataille de Fishguard': 4, 'Offensive de Deir ez-Zor (2017-2019)': 4, 'Émile Boga Doudou': 4}",Guerres médiques
178.192.153.27,"{'Orpaillage': 1, 'Bataille des Thermopyles': 1}","Bataille des Thermopyles,Bataille des Thermopyles"
184.162.235.234,{'Bataille des Thermopyles': 1},"Bataille des Thermopyles,Bataille des Thermopyles"
184.162.240.37,{'Xerxès Ier': 1},Xerxès Ier
184.163.123.96,"{'Léonidas Ier de Sparte': 2, 'Pink slime': 1}",Léonidas Ier de Sparte
185.132.117.130,"{'Philip W. Anderson (monteur)': 9, 'Mézeray (Sarthe)': 7, 'George Panu': 4, 'Guéry (prénom)': 4, 'Raymond Avrillier': 4}",Léonidas Ier de Sparte
185.132.66.18,"{'Réseau de bus RATP': 5, 'Réflexions ou sentences et maximes morales': 2, 'Cheetah (robot)': 2, 'BB 17000': 2, 'Léonidas Ier de Sparte': 2}",Léonidas Ier de Sparte
185.135.126.16,"{'Franz Ignaz Oefele': 7, 'Leo Welch': 7, 'Ligne de Berlin à Hambourg': 6, 'Manfred Trojahn': 6, ""Premier Salon d'automne allemand"": 6}",Bataille de l'Artémision
185.215.65.34,"{'Joseph Broizat': 4, 'Sébastien Serrière': 4, ""La Planète des singes : L'Affrontement"": 3, 'Momo Challenge': 3, 'Guy de Traversay': 3}","Abrocomès,Hypérantès"
185.24.187.214,"{'Conseil supérieur de la magistrature (France)': 38, 'Liste des membres du Conseil supérieur de la magistrature': 10, 'George Armstrong Custer': 9, ""Grand collier de la Légion d'honneur"": 9, 'Direction interrégionale des services pénitentiaires de Lyon': 6}",Bataille de Salamine
188.141.222.131,"{'Guerres médiques': 1, 'Achille': 1}",Guerres médiques
188.152.129.66,"{'Vital de Blois': 2, 'Baresman': 1, 'Bucentaure (bateau vénitien)': 1, 'Liste de cités grecques': 1, ""Bataille de l'Artémision"": 1}","Guerres médiques,Bataille de l'Artémision"
188.44.92.118,"{""Syndrome d'Ehlers-Danlos"": 3, 'Zhou Enlai': 2, 'Abigaëlle': 2, 'Maison de Valois': 2, 'Dépression atypique': 2}",Bataille de Salamine
188.81.251.235,"{'Spartatouille': 1, 'Skins (série télévisée, 2007)': 1}",Spartatouille
189.189.137.242,"{'5 juillet': 1, 'Odilon Redon': 1, 'Bataille de Salamine': 1}",Bataille de Salamine
190.115.177.106,"{'Messi (homonymie)': 2, 'Petit-Goâve': 1, 'Géométrie': 1, 'Thémistocle': 1, 'Équipe du Canada de soccer': 1}",Thémistocle
192.102.224.240,{'Darius Ier': 1},Darius Ier
192.102.224.51,"{'EFREI Paris': 9, 'Quine (informatique)': 2, 'Bataille des Thermopyles': 2, 'Équitation': 1, 'Tesla Model S': 1}","Bataille des Thermopyles,Bataille des Thermopyles"
192.54.145.146,"{'Desmond Doss': 14, 'Dornier Do 17': 13, 'Mogami (croiseur)': 12, 'Barbaresques': 11, 'Dwight D. Eisenhower': 11}",300 (film)
192.64.143.234,{'Première guerre médique': 1},Première guerre médique
193.191.131.34,"{'Institut Jules Bordet': 5, 'Absorption biphotonique à rayons X': 5, 'Rue des Guildes': 4, 'Attentat du World Trade Center de 1993': 3, 'Les Camions du diable': 3}","Bataille des Thermopyles,Bataille des Thermopyles"
193.191.144.238,"{'Antoine': 5, 'Guerres médiques': 4, 'Kevin': 3, 'Youri Gagarine': 2, 'ABBA': 2}",Guerres médiques
193.201.106.83,{'Bataille des Thermopyles': 2},"Bataille des Thermopyles,Bataille des Thermopyles"
193.249.163.38,{'Thémistocle': 1},Thémistocle
193.251.190.127,"{'Bataille de Salamine': 5, 'Jacques Higelin': 5, 'Tuyau souple': 4, 'Marcus Gavius Apicius': 4, 'Tuyau rigide': 3}",Bataille de Salamine
193.252.157.48,"{'Utilisateur:YoannMoi/Brouillon': 8, 'ASVEL Lyon-Villeurbanne': 7, 'Les Nuits de Raspoutine': 7, 'Utilisateur:Lololyon/Brouillon': 6, 'Fiodor Chaliapine fils': 5}",Xerxès Ier
193.252.198.199,"{'300 (bande dessinée)': 1, '8 mars': 1}",300 (bande dessinée)
193.252.30.152,"{'William Harvey': 5, 'Imad al-Din al-Isfahani': 3, 'Astrologie chinoise': 3, 'Léonidas Ier de Sparte': 2, 'Delphes': 2}","Darius Ier,Léonidas Ier de Sparte"
193.252.32.83,"{'Skagen': 7, 'Asnières Volley 92': 7, 'Darvault': 7, 'Euro Hockey League 2013-2014': 6, 'Stade Charléty': 5}",Guerres médiques
193.252.49.83,"{'Niafles': 11, 'André-Marie Ampère': 6, 'Capitole des États-Unis': 4, 'Pommerieux': 4, 'La Mégère apprivoisée': 4}",Léonidas aux Thermopyles
193.48.25.223,"{'Born This Way': 14, 'Billet électronique': 7, 'École centrale de Lille': 5, 'ANSYS': 3, 'The Edge of Glory': 3}",300 (film)
193.49.0.75,"{'Chalonnes-sur-Loire': 3, 'Saint-Georges-sur-Loire': 3, 'Traité de Madrid (1750)': 2, 'Louis IX': 2, 'Programme international pour le suivi des acquis des élèves': 2}",Bataille de Platées
193.5.216.100,"{'ALR Piranha': 9, 'Vallorbe': 9, 'Nouvelle-Calédonie': 6, 'Aéroport de Kostanaï': 5, ""Office fédéral de l'environnement"": 5}",Phidippidès
193.50.123.42,"{'NRJ Group': 5, 'Lune': 2, 'Satellite artificiel': 2, 'La Fiancée de Chucky': 1, 'Le Fils de Chucky': 1}",Spartatouille
193.51.141.206,"{'Léonidas Ier de Sparte': 2, 'Io (mythologie)': 2, 'Siècle des Lumières': 2, 'Merlin': 1, 'Neptune (mythologie)': 1}",Léonidas Ier de Sparte
193.51.164.2,"{'Centre international de recherche sur le cancer': 3, 'Nerd': 2, 'Lampe fluorescente': 2, 'Chalemie': 2, 'Nevers': 2}",300 (bande dessinée)
193.51.20.143,"{'Personnages de Final Fantasy IX': 16, 'Final Fantasy': 6, 'Eurybiade': 3, 'Grand Theft Auto': 2, 'Tableau périodique des éléments': 2}",Eurybiade
193.52.145.242,"{'Montaure': 4, 'Jean-Yves Lafesse': 2, ""Fonction d'état"": 2, 'Apprentissage moteur': 2, 'Brosville': 2}",Bataille de Marathon
193.52.16.15,"{'Portail:Franche-Comté/Histoire/Personnalités': 12, 'Liste des papes (simple)': 6, 'Detachment': 2, 'Grande famine irlandaise': 2, 'Classe Le Redoutable': 1}",La Bataille des Thermopyles
193.52.198.110,"{'Henri Rougier (géographe)': 17, 'Université Jean-Moulin-Lyon-III': 10, 'Puy du Fou': 9, 'Cité de la Solidarité Internationale': 6, 'Ornex': 6}",Léonidas aux Thermopyles
193.52.208.229,"{'Sermur': 21, 'ReactOS': 20, 'José Moreira (football)': 15, 'Solidaires étudiant-e-s': 7, 'Microsoft Project': 5}",300 (bande dessinée)
193.52.65.162,{'Bataille de Salamine': 2},Bataille de Salamine
193.54.105.49,"{'Stimulus': 4, 'Maison-Blanche': 2, 'New River Gorge Bridge': 2, 'GP Explorer': 1, ""Stockage d'information"": 1}",Bataille de Marathon
193.54.22.100,"{""Paul Alo'o Efoulou"": 7, ""Groupe B des éliminatoires du Championnat d'Europe de football 2020"": 5, 'Júnior Moraes': 4, 'Miami': 3, 'Edmar (football, 1980)': 3}","Bataille des Thermopyles,Bataille des Thermopyles"
193.54.27.225,"{'300 (film)': 3, 'Crédit agricole': 3, 'Pouvoir exécutif': 3, 'South Park': 2, 'Dmitri Mendeleïev': 2}",300 (film)
193.54.74.30,"{'Jean de Florette (film)': 4, 'Ambulancier': 4, 'Épilepsie': 3, 'Tomothérapie': 3, 'Olivier Véran': 3}",300 : La Naissance d'un empire
193.55.99.255,"{'Union des étudiants communistes': 2, 'Bataille des Thermopyles': 1}","Bataille des Thermopyles,Bataille des Thermopyles"
193.58.223.72,"{'Abdelmajid Lakhal': 16, 'Phallus': 4, 'Entrammes (Mayenne)': 4, 'Utilisateur:Rei Momo': 3, 'Inter mutuelles assistance': 2}",300 : La Naissance d'un empire
194.167.31.73,"{'Star Trek Into Darkness': 15, 'Mario Kart Tour': 7, 'Star Wars, épisode VIII : Les Derniers Jedi': 6, 'Kerbal Space Program': 5, 'Minecraft Earth': 5}",Thémistocle
194.199.240.129,"{'Mersa Fatma': 4, 'Kóstas Mítroglou': 3, 'Théorème de Taylor': 3, 'La Passe-miroir': 2, ""Famille Colonna d'Istria"": 2}",Bataille de l'Artémision
194.199.4.203,"{'Yoko Ono': 15, 'Avant-lès-Ramerupt': 9, 'Paul Ruinart': 9, 'Alison Knowles': 9, 'Pierre Guyotat': 8}",Léonidas Ier de Sparte
194.214.134.2,"{'Alfter': 8, 'Xian de Lingui': 6, 'Margot Robbie': 5, 'Tchoubynske': 5, 'D (langage)': 4}",Darius Ier
194.3.159.107,"{'Premier Empire': 4, 'Léonidas Ier de Sparte': 3, 'Voltage (radio)': 1, 'Le Sexe qui parle': 1, 'Hôtel de Blossac': 1}",Léonidas Ier de Sparte
194.51.180.139,"{'Éditions Ellipses': 2, 'Kabbale': 2, 'Léonidas Ier de Sparte': 1, 'Vercingétorix': 1, 'Bernard Bajolet': 1}",Léonidas Ier de Sparte
194.51.23.173,"{'Histoire militaire du Portugal pendant la Première Guerre mondiale': 5, 'Sagrada Família': 5, 'Marcus Garvey': 3, 'Trente Glorieuses': 2, 'Crazy Horse (chef amérindien)': 2}",Bataille de Marathon
194.57.193.38,"{'C2H6O': 3, ""Jean-Pierre-Joseph d'Arcet"": 3, 'Planète': 2, 'Goldman Sachs': 2, 'Bataille de Salamine': 2}",Bataille de Salamine
194.57.219.139,"{'Lysimacheia (Thrace)': 15, 'Bataille de Mantinée (418 av. J.-C.)': 7, 'Liste de théâtres grecs antiques': 6, 'Béotie': 5, ""Opérations navales durant la guerre d'indépendance grecque"": 3}",Miltiade le Jeune
